Title,Search_Url
Work Smarter with Microsoft Excel,https://www.google.com/search?q=Work+Smarter+with+Microsoft+Excel
"Sequences, Time Series and Prediction","https://www.google.com/search?q=Sequences,+Time+Series+and+Prediction"
"Pressure, Force, Motion, and Humidity Sensors ","https://www.google.com/search?q=Pressure,+Force,+Motion,+and+Humidity+Sensors+"
Machine Learning: Clustering & Retrieval,https://www.google.com/search?q=Machine+Learning:+Clustering+&+Retrieval
Managing Debt,https://www.google.com/search?q=Managing+Debt
Nutrición y obesidad: control de sobrepeso,https://www.google.com/search?q=Nutrición+y+obesidad:+control+de+sobrepeso
Hardware Security,https://www.google.com/search?q=Hardware+Security
The Outcomes and Interventions of Health Informatics,https://www.google.com/search?q=The+Outcomes+and+Interventions+of+Health+Informatics
Data Analysis and Presentation Skills: the PwC Approach Specialization,https://www.google.com/search?q=Data+Analysis+and+Presentation+Skills:+the+PwC+Approach+Specialization
Leadership Skills,https://www.google.com/search?q=Leadership+Skills
